Time,End_time,Duration_s,Flow_Lmin,Litros_totales,Dispositivo
1550048311,1550048312,1,5.31,0.177,lavamanos
1550056694,1550056700,6,3.576,0.365,ducha
1550336126,1550336134,8,3.04,0.188,lavamanos
1550338324,1550338586,262,2.46,0.369,lavamanos
1550339333,1550339347,14,2.417142857142857,0.611,lavamanos
1550350532,1550350557,25,3.28,1.435,lavamanos
1550351229,1550351247,18,2.50125,0.763,lavamanos
1550399593,1550399638,45,2.262272727272727,1.739,lavamanos
1550411190,1550411206,16,2.9,0.785,lavamanos
1550416796,1550417183,387,3.5284033613445374,19.137,lavamanos
1550417884,1550417928,44,2.7988235294117647,1.898,lavamanos
1550441095,1550441118,23,3.474,1.416,lavamanos
1550442280,1550442283,3,2.64,0.176,lavamanos
1550474470,1550475904,1434,2.3043478260869565,8.857,lavamanos
1550518075,1550518085,10,2.85,0.522,lavamanos
1550534344,1550534354,10,1.8872727272727272,0.346,lavamanos
1550559494,1550559502,8,2.6533333333333333,0.398,lavamanos
1550560508,1550560543,35,3.667058823529412,2.215,lavamanos
1550561149,1550561522,373,2.9657142857142857,7.718,lavamanos
1550562166,1550562682,516,2.7848275862068967,3.182,lavamanos
1550618780,1550619285,505,2.0966666666666667,1.34,lavamanos
1550655750,1550657001,1251,3.168085106382979,7.948,lavamanos
1550679243,1550679253,10,2.16,0.405,lavamanos
1550679870,1550679879,9,2.633333333333333,0.397,lavamanos
1550687118,1550687671,553,2.655111111111111,6.763,lavamanos
1550692954,1550692987,33,3.222,1.467,lavamanos
1550694259,1550694297,38,5.623333333333333,3.578,lavamanos
1550695194,1550695912,718,2.8493023255813954,3.999,lavamanos
1550698906,1550698911,5,2.56,0.256,lavamanos
1550701368,1550701632,264,3.415714285714286,2.53,lavamanos
1550706891,1550706904,13,2.353846153846154,0.514,lavamanos
1550708174,1550708192,18,3.3,1.064,lavamanos
1550709038,1550709042,4,2.205,0.198,lavamanos
1550711856,1550711876,20,3.156,1.162,lavamanos
1550735728,1550736074,346,2.4370786516853933,3.833,lavamanos
1550736787,1550737052,265,3.186,1.723,lavamanos
