Time,End_time,Duration_s,Flow_Lmin,Litros_totales
1551112805,1551113165,360,0.72,4.319999999999999
1551136662,1551137022,360,0.72,4.319999999999999
1551163319,1551163679,360,0.72,4.319999999999999
1551181357,1551181717,360,0.72,4.319999999999999
1551201563,1551201923,360,0.72,4.319999999999999
1551215602,1551215962,360,0.72,4.319999999999999
1551257560,1551257920,360,0.72,4.319999999999999
1551289362,1551289722,360,0.72,4.319999999999999
1551335545,1551335905,360,0.72,4.319999999999999
1551371339,1551371699,360,0.72,4.319999999999999
1551422209,1551422569,360,0.72,4.319999999999999
1551422701,1551423061,360,0.72,4.319999999999999
1551426306,1551426666,360,0.72,4.319999999999999
1551439207,1551439567,360,0.72,4.319999999999999
1551479301,1551479661,360,0.72,4.319999999999999
1551522524,1551522884,360,0.72,4.319999999999999
1551539412,1551539772,360,0.72,4.319999999999999
1551560140,1551560500,360,0.72,4.319999999999999
1551678811,1551679171,360,0.72,4.319999999999999
1551693380,1551693740,360,0.72,4.319999999999999
1551736130,1551736490,360,0.72,4.319999999999999
1551768518,1551768878,360,0.72,4.319999999999999
1551790628,1551790988,360,0.72,4.319999999999999
1551799422,1551799782,360,0.72,4.319999999999999
1551866556,1551866916,360,0.72,4.319999999999999
1551872374,1551872734,360,0.72,4.319999999999999
1551888518,1551888878,360,0.72,4.319999999999999
1551907869,1551908229,360,0.72,4.319999999999999
1551933874,1551934234,360,0.72,4.319999999999999
1552242106,1552242466,360,0.72,4.319999999999999
1552254243,1552254603,360,0.72,4.319999999999999
1552286203,1552286563,360,0.72,4.319999999999999
1552286552,1552286912,360,0.72,4.319999999999999
1552313962,1552314322,360,0.72,4.319999999999999
1552404033,1552404393,360,0.72,4.319999999999999
1552404860,1552405220,360,0.72,4.319999999999999
1552459254,1552459614,360,0.72,4.319999999999999
1552461437,1552461797,360,0.72,4.319999999999999
1552518530,1552518890,360,0.72,4.319999999999999
1552584321,1552584681,360,0.72,4.319999999999999
1552602146,1552602506,360,0.72,4.319999999999999
1552634065,1552634425,360,0.72,4.319999999999999
1552635694,1552636054,360,0.72,4.319999999999999
1552640222,1552640582,360,0.72,4.319999999999999
1552659584,1552659944,360,0.72,4.319999999999999
1552692090,1552692450,360,0.72,4.319999999999999
1552719088,1552719448,360,0.72,4.319999999999999
1552725074,1552725434,360,0.72,4.319999999999999
1552730333,1552730693,360,0.72,4.319999999999999
1552754519,1552754879,360,0.72,4.319999999999999
1552810190,1552810550,360,0.72,4.319999999999999
1552952664,1552953024,360,0.72,4.319999999999999
1552953501,1552953861,360,0.72,4.319999999999999
1553030250,1553030610,360,0.72,4.319999999999999
1553031424,1553031784,360,0.72,4.319999999999999
1553066023,1553066383,360,0.72,4.319999999999999
1553068085,1553068445,360,0.72,4.319999999999999
1553082902,1553083262,360,0.72,4.319999999999999
1553103078,1553103438,360,0.72,4.319999999999999
1553123921,1553124281,360,0.72,4.319999999999999
1553151294,1553151654,360,0.72,4.319999999999999
1553239859,1553240219,360,0.72,4.319999999999999
1553249761,1553250121,360,0.72,4.319999999999999
1553279976,1553280336,360,0.72,4.319999999999999
1553323597,1553323957,360,0.72,4.319999999999999
1553337548,1553337908,360,0.72,4.319999999999999
1553410479,1553410839,360,0.72,4.319999999999999
1553433665,1553434025,360,0.72,4.319999999999999
1553435525,1553435885,360,0.72,4.319999999999999
1553448602,1553448962,360,0.72,4.319999999999999
1553451459,1553451819,360,0.72,4.319999999999999
1553457971,1553458331,360,0.72,4.319999999999999
1553461352,1553461712,360,0.72,4.319999999999999
1553500359,1553500719,360,0.72,4.319999999999999
1553545143,1553545503,360,0.72,4.319999999999999
1553554095,1553554455,360,0.72,4.319999999999999
1553582921,1553583281,360,0.72,4.319999999999999
1553590584,1553590944,360,0.72,4.319999999999999
1553592032,1553592392,360,0.72,4.319999999999999
1553627613,1553627973,360,0.72,4.319999999999999
1553677297,1553677657,360,0.72,4.319999999999999
1553723490,1553723850,360,0.72,4.319999999999999
1553754708,1553755068,360,0.72,4.319999999999999
1553756300,1553756660,360,0.72,4.319999999999999
1553809485,1553809845,360,0.72,4.319999999999999
1553899157,1553899517,360,0.72,4.319999999999999
1553913494,1553913854,360,0.72,4.319999999999999
1553946101,1553946461,360,0.72,4.319999999999999
1554101226,1554101586,360,0.72,4.319999999999999
1554116810,1554117170,360,0.72,4.319999999999999
1554184786,1554185146,360,0.72,4.319999999999999
1554188868,1554189228,360,0.72,4.319999999999999
1554198548,1554198908,360,0.0,0.0
1554198586,1554198946,360,0.0,0.0
1554198805,1554199165,360,0.0,0.0
1554198817,1554199177,360,0.0,0.0
1554242098,1554242458,360,0.72,4.319999999999999
1554285793,1554286153,360,0.72,4.319999999999999
