Time,End_time,Duration_s,Flow_Lmin,Litros_totales
1550048311,1550048312,1,5.31,0.177
1550336126,1550336134,8,3.0399999999999996,0.188
1550338324,1550338586,262,2.46,0.369
1550339333,1550339347,14,2.417142857142857,0.611
1550350532,1550350557,25,3.28,1.435
1550351229,1550351247,18,2.5012499999999998,0.763
1550399593,1550399638,45,2.262272727272727,1.739
1550411190,1550411206,16,2.9,0.785
1550416796,1550417183,387,3.5284033613445374,19.137
1550417884,1550417928,44,2.7988235294117647,1.898
1550441095,1550441118,23,3.4739999999999998,1.416
1550442280,1550442283,3,2.6399999999999997,0.176
1550474470,1550475904,1434,2.3043478260869565,8.857
1550518075,1550518085,10,2.85,0.522
1550534344,1550534354,10,1.8872727272727272,0.346
1550559494,1550559502,8,2.6533333333333333,0.398
1550560508,1550560543,35,3.6670588235294117,2.215
1550561149,1550561522,373,2.9657142857142857,7.718
1550562166,1550562682,516,2.7848275862068967,3.182
1550618780,1550619285,505,2.0966666666666667,1.34
1550655750,1550657001,1251,3.168085106382979,7.948
1550679243,1550679253,10,2.16,0.405
1550679870,1550679879,9,2.633333333333333,0.397
1550687118,1550687671,553,2.655111111111111,6.763
1550692954,1550692987,33,3.222,1.467
1550694259,1550694297,38,5.623333333333333,3.578
1550695194,1550695912,718,2.8493023255813954,3.999
1550698906,1550698911,5,2.5599999999999996,0.256
1550701368,1550701632,264,3.415714285714286,2.53
1550706891,1550706904,13,2.353846153846154,0.514
1550708174,1550708192,18,3.3,1.064
1550709038,1550709042,4,2.205,0.198
1550711856,1550711876,20,3.156,1.162
1550735728,1550736074,346,2.4370786516853933,3.833
1550736787,1550737052,265,3.186,1.723
1550778313,1550778326,13,2.8846153846153846,0.681
1550786533,1550786549,16,2.85,0.814
1550801511,1550801870,359,0.8663157894736842,0.873
1550803987,1550804027,40,2.3676923076923075,1.621
1550823272,1550823297,25,3.47,1.522
1550831248,1550831263,15,2.9879999999999995,0.803
1550843805,1550843826,21,2.0171428571428573,0.742
1550847750,1550847759,9,4.218,0.703
1550850687,1550850721,34,3.3163636363636364,1.942
1550853568,1550853747,179,3.2038709677419352,10.004
1550854911,1550855220,309,2.0949152542372884,2.212
1550855954,1550856229,275,0.72,0.06
1550870830,1550870841,11,1.7,0.34
1550908414,1550908429,15,1.6520000000000001,0.444
1550923809,1550923829,20,0.7949999999999999,0.278
1550929421,1550930339,918,2.6533333333333333,8.991
1550930969,1550930974,5,0.94,0.08
1550944293,1550944306,13,0.996923076923077,0.234
1550951813,1550951836,23,3.2945454545454544,1.331
1550996598,1550998005,1407,2.061019108280255,5.755
1551042311,1551042331,20,3.6252631578947367,1.248
1551044146,1551044152,6,3.12,0.364
1551078274,1551078280,6,3.0999999999999996,0.379
1551079349,1551079371,22,1.778181818181818,0.685
1551080092,1551081659,1567,2.6970652173913043,8.97
1551095846,1551095846,1,0.78,0.013
1551124757,1551124779,22,2.1514285714285712,0.831
1551132494,1551132559,65,2.764615384615385,5.355
1551135919,1551135938,19,2.1726315789473682,0.726
1551136592,1551136596,4,1.2,0.1
1551163222,1551163226,4,1.392,0.116
1551172958,1551172971,13,2.147142857142857,0.501
1551173803,1551173805,2,0.18,0.008
1551176488,1551176968,480,2.88,1.299
1551177569,1551177584,15,3.642857142857143,0.88
1551180802,1551180805,3,1.02,0.068
1551184544,1551184638,94,1.4437499999999999,0.726
1551185644,1551185710,66,2.357142857142857,1.221
1551186979,1551187148,169,2.6257142857142854,1.266
1551191362,1551191388,26,3.069230769230769,1.386
1551192560,1551193252,692,4.331328671328671,21.549
1551250742,1551252164,1422,2.937165354330708,6.565
1551252782,1551252902,120,1.33,0.363
1551286587,1551286601,14,3.69,0.933
1551287553,1551287580,27,2.285,1.051
1551305542,1551305552,10,1.464,0.253
1551335658,1551337755,2097,2.38,11.207
1551379582,1551379594,12,5.575,1.119
1551380790,1551380910,120,2.9505882352941177,2.879
1551384226,1551384405,179,4.074,1.516
1551393050,1551393226,176,3.7175,1.592
1551394907,1551394987,80,2.3124999999999996,1.299
1551427376,1551427448,72,1.2342857142857144,2.064
1551430351,1551430354,3,0.96,0.064
1551444362,1551446336,1974,2.0727272727272728,12.383
1551479205,1551479230,25,2.0136000000000003,0.875
1551519877,1551520500,623,2.58,2.076
1551521944,1551521962,18,2.0199999999999996,0.633
1551525612,1551525633,21,1.0857142857142856,0.398
1551537301,1551539714,2413,1.6990384615384615,3.407
1551549181,1551549196,15,2.476,0.623
1551583316,1551583334,18,2.9099999999999997,0.933
1551604782,1551606482,1700,2.0538028169014084,9.532
1551643554,1551643574,20,1.951578947368421,0.692
1551645534,1551645541,7,1.1325,0.151
1551648225,1551648266,41,1.4069999999999998,0.989
1551683833,1551684486,653,2.6512299465240643,10.374
1551685278,1551685296,18,1.1366666666666665,0.361
1551736044,1551736059,15,2.804,0.75
1551782678,1551782700,22,0.8,0.308
1551787779,1551787781,2,1.18,0.059
1551795751,1551795771,20,2.064,0.726
1551796439,1551796734,295,1.5565384615384616,1.94
1551797792,1551797875,83,1.8372151898734177,2.567
1551798492,1551799336,844,1.0654545454545454,1.613
1551889503,1551889853,350,0.72,0.052
1551899717,1551899735,18,2.59,0.828
1551900988,1551901037,49,2.2429787234042555,1.873
1551904039,1551904160,121,2.156470588235294,1.608
1551932713,1551933472,759,1.573972602739726,4.057
1552236924,1552236925,1,1.7999999999999998,0.06
1552239589,1552239605,16,0.79875,0.226
1552241000,1552243386,2386,1.801090909090909,6.286
1552286805,1552286823,18,0.75,0.238
1552288426,1552288994,568,0.8799999999999999,0.426
1552299181,1552299195,14,2.04,0.494
1552299930,1552299954,24,2.4327272727272726,1.073
1552304330,1552304338,8,1.7,0.255
1552305105,1552305125,20,2.232,0.784
1552306717,1552306734,17,0.7941176470588235,0.238
1552319622,1552319637,15,1.9840000000000002,0.532
1552321643,1552322539,896,2.473150684931507,7.832
1552419860,1552419877,17,1.9729411764705882,0.595
1552422133,1552422155,22,1.9527272727272726,0.752
1552461540,1552461722,182,2.179148936170213,2.355
1552462481,1552463076,595,1.9949999999999999,1.394
1552516394,1552516889,495,3.208571428571428,3.492
1552517794,1552517806,12,1.536923076923077,0.333
1552546775,1552548419,1644,1.5760714285714286,4.684
1552583010,1552583028,18,1.2133333333333332,0.384
1552584286,1552584302,16,0.97875,0.276
1552621716,1552621719,3,0.99,0.066
1552635495,1552635513,18,1.1233333333333333,0.357
1552651351,1552651365,14,1.2257142857142855,0.308
1552657975,1552659465,1490,1.2879245283018868,3.647
1552678776,1552678796,20,2.646,0.931
1552691771,1552692476,705,2.6021739130434782,4.034
1552730411,1552730565,154,3.54,1.513
1552733219,1552733378,159,4.582105263157894,3.784
1552734270,1552735091,821,3.381923076923077,3.134
1552737412,1552738382,970,1.940751879699248,7.643
1552757809,1552757924,115,2.2899999999999996,1.252
1552761530,1552761530,1,0.36,0.006
1552780980,1552781011,31,0.8676923076923077,0.469
1552809315,1552809590,275,2.190782608695652,6.443
1552810808,1552811508,700,1.8352173913043477,1.527
1552952188,1552952696,508,1.0102702702702704,0.696
1552978856,1552980721,1865,2.0016923076923074,7.581
1553017013,1553017029,16,1.14375,0.307
1553017785,1553017935,150,1.3563636363636362,2.887
1553026410,1553026424,14,1.0457142857142856,0.264
1553038802,1553038920,118,1.5233333333333332,0.886
1553081004,1553081020,16,0.97875,0.279
1553085497,1553085999,502,2.7720000000000002,0.231
1553100915,1553101886,971,1.7368211920529801,5.613
1553102506,1553103029,523,1.184,1.585
1553118826,1553118937,111,1.9733333333333332,3.665
1553119793,1553120347,554,1.54125,1.664
1553149089,1553149094,5,0.6399999999999999,0.064
1553150046,1553151709,1663,1.4637410071942445,3.701
1553199805,1553199823,18,1.609090909090909,0.521
1553204972,1553205334,362,3.285957446808511,11.501
1553239187,1553239722,535,1.225233644859813,2.568
1553240954,1553240999,45,1.0619999999999998,0.483
1553245485,1553245508,23,1.8628571428571428,0.728
1553248454,1553248504,50,3.738461538461538,1.076
1553253315,1553253927,612,2.315625,1.495
1553261021,1553261040,19,0.5210526315789473,0.174
1553264098,1553264569,471,1.164,0.842
1553266446,1553266466,20,0.9315789473684211,0.331
1553281827,1553281876,49,1.26,0.525
1553292326,1553292360,34,0.8999999999999999,0.328
1553345576,1553345602,26,2.6533333333333333,0.434
1553354668,1553355437,769,1.4986466165413534,3.692
1553356123,1553356562,439,2.2060975609756097,7.481
1553357640,1553357659,19,1.1314285714285715,0.204
1553371728,1553371816,88,0.9866666666666666,0.918
1553373100,1553373128,28,1.116923076923077,0.544
1553373842,1553373845,3,0.8999999999999999,0.06
1553390587,1553390606,19,1.74,0.58
1553412218,1553412254,36,1.3679999999999999,0.282
1553419434,1553420418,984,1.7768421052631578,7.745
1553426182,1553426200,18,1.8333333333333333,0.588
1553431378,1553431464,86,1.6684615384615384,1.021
1553433442,1553433499,57,1.272,0.424
1553434476,1553435822,1346,3.1875,17.748
1553457972,1553458024,52,0.645,0.176
1553461911,1553462831,920,3.07231884057971,23.755
1553498309,1553498590,281,1.885321100917431,4.707
1553499227,1553500302,1075,0.9620000000000001,2.762
1553543611,1553543649,38,1.4652631578947368,0.562
1553581384,1553581477,93,1.2733333333333332,1.721
1553583397,1553583411,14,2.232,0.558
1553587635,1553587677,42,1.9114285714285715,0.65
1553590439,1553590516,77,2.598648648648649,3.382
1553598651,1553598669,18,1.14,0.362
1553599881,1553601078,1197,1.8241988950276242,8.008
1553614189,1553614207,18,1.4966666666666666,0.478
1553627450,1553627756,306,2.1580645161290324,2.474
1553644119,1553644135,16,0.82875,0.236
1553669844,1553671506,1662,1.2760975609756098,7.811
1553723204,1553723687,483,1.5839999999999999,0.132
1553724814,1553724821,7,1.14,0.164
1553756212,1553756300,88,2.5254545454545454,2.135
1553759901,1553759909,8,1.14,0.181
1553764211,1553764211,1,0.6599999999999999,0.011
1553769477,1553769518,41,1.831578947368421,0.704
1553773921,1553773944,23,3.0054545454545454,1.177
1553781135,1553781174,39,1.2178378378378378,0.795
1553794702,1553795271,569,2.0834042553191487,5.879
1553808716,1553808730,14,1.08,0.258
1553842232,1553842931,699,1.503,4.044
1553888111,1553888127,16,0.9920000000000001,0.275
1553945769,1553946331,562,1.680923076923077,5.732
1554044023,1554045471,1448,1.2336690647482014,4.998
1554046285,1554046294,9,0.9799999999999999,0.165
1554072087,1554072103,16,2.20125,0.629
1554114611,1554115023,412,4.459279279279279,27.687
1554115631,1554116312,681,2.0476923076923077,1.617
1554134595,1554134622,27,1.4974999999999998,0.664
1554157362,1554157383,21,0.894,0.328
1554183760,1554183765,5,2.13,0.213
1554185593,1554186081,488,1.6396153846153845,3.663
1554187029,1554187350,321,1.1178947368421053,2.874
1554188017,1554188832,815,0.8290909090909091,3.058
1554326476,1554327034,558,5.002941176470587,7.83
1554355077,1554356162,1085,1.6232142857142855,6.006
1554397414,1554397428,14,1.1228571428571428,0.286
1554398080,1554398271,191,1.7938235294117648,4.038
1554417035,1554417661,626,1.0139999999999998,0.545
1554452847,1554454345,1498,1.46,6.304
1554470306,1554470427,121,1.6300000000000001,3.619
1554477737,1554477778,41,1.5466666666666666,0.541
1554482562,1554482601,39,3.7097142857142855,2.503
1554485974,1554486014,40,3.0,1.96
1554487677,1554487678,1,0.6599999999999999,0.022
1554489022,1554489108,86,0.9966666666666666,1.065
1554510644,1554510972,328,0.7152,0.326
1554537997,1554539273,1276,1.875,9.614
1554563564,1554563657,93,1.5419999999999998,1.052
1554565323,1554565337,14,2.314285714285714,0.582
1554593323,1554593343,20,1.5705882352941176,0.484
1554604304,1554605069,765,0.9982978723404256,0.92
1554625435,1554627289,1854,1.7331818181818182,14.358
1554809398,1554809410,12,1.7599999999999998,0.39
1554813881,1554813891,10,2.110909090909091,0.387
1554820620,1554820781,161,1.2106451612903224,1.74
