Time,End_time,Duration_s,Flow_Lmin,Litros_totales
1551435407,1551438717,3310,4.442068965517241,10.176
1551440826,1551441839,1013,3.36,1.306
1551465957,1551470314,4357,1.8013333333333332,27.371
1551475985,1551476162,177,1.1365714285714286,2.313
1551510248,1551511717,1469,3.465445544554455,14.958
1551515412,1551516736,1324,3.1910769230769227,3.71
1551525990,1551528526,2536,2.243157894736842,16.09
1551550748,1551550758,10,0.3675,0.055
1551602074,1551602079,5,1.68,0.168
1551606539,1551608151,1612,1.5490909090909089,0.646
1551643854,1551644992,1138,1.8136842105263158,18.553
1551682964,1551683130,166,2.605714285714286,1.546
1551768995,1551769005,10,1.9636363636363636,0.36
1551771397,1551771419,22,3.212727272727273,1.241
1551775586,1551777055,1469,2.4266666666666663,5.073
1551781790,1551782354,564,2.605531914893617,10.177
1551787448,1551788103,655,1.3957142857142857,8.383
1551888593,1551888610,17,1.236,0.231
1551900095,1551900390,295,1.9733333333333332,8.481
1552235085,1552236674,1589,1.7704477611940297,5.535
1552243624,1552243659,35,3.54,2.138
1552249905,1552249919,14,1.429090909090909,0.27
1552287028,1552287641,613,2.4734328358208955,2.941
1552305192,1552308346,3154,2.3020312499999998,15.309
1552421271,1552422476,1205,1.6688888888888886,9.624
1552460646,1552461146,500,1.6707692307692308,3.196
1552515276,1552515280,4,0.585,0.041
1552545965,1552546063,98,2.52,0.7
1552583872,1552584263,391,1.5313043478260868,4.229
1552634692,1552635360,668,2.0906666666666665,5.141
1552648344,1552648347,3,0.86,0.067
1552651013,1552652024,1011,1.6983333333333335,8.403
1552679695,1552679698,3,1.065,0.071
1552684808,1552685096,288,3.0376470588235294,7.338
1552719412,1552719461,49,0.708,0.149
1552724866,1552724893,27,1.111764705882353,0.373
1552728042,1552729279,1237,1.7427272727272727,10.028
1552736959,1552736964,5,6.3,0.63
1552738848,1552738850,2,1.18,0.059
1552752662,1552754463,1801,2.752027972027972,27.627
1552757357,1552757902,545,2.2725,7.145
1552807032,1552807974,942,2.2729787234042553,25.635
1552811949,1552812266,317,0.5549999999999999,0.665
1552951941,1552952115,174,2.907857142857143,7.662
1552977169,1552977947,778,1.3023529411764707,18.76
1553026560,1553026869,309,1.166938775510204,2.285
1553066527,1553066558,31,3.29,1.763
1553069944,1553069945,1,2.07,0.069
1553072459,1553072469,10,3.212727272727273,0.589
1553076012,1553076715,703,2.425,4.616
1553080513,1553082812,2299,2.1678602620087335,18.886
1553089855,1553090401,546,1.2811764705882351,6.452
1553093080,1553093224,144,2.13,2.822
1553149596,1553149727,131,3.684545454545454,2.888
