row_id,Time,Dispositivo,Sector,Litros_totales,Duration_s,hora,minuto,segundo,Evento
321,1553323597,inodoro,Baño,4.319999999999999,360,6,46,37,4.3 L | 360 s | 06:46:37
645,1555976319,lavamanos,Baño,3.458,42,23,38,39,3.5 L | 42 s | 23:38:39
1821,1563118609,lavamanos,Baño,0.084,7,15,36,49,0.1 L | 7 s | 15:36:49
2948,1571497294,lavaplatos,Cocina,6.575,86,15,1,34,6.6 L | 86 s | 15:01:34
3694,1595930725,lavaplatos,Cocina,11.544,655,10,5,25,11.5 L | 655 s | 10:05:25
4110,1598025734,lavamanos,Baño,2.154,470,16,2,14,2.2 L | 470 s | 16:02:14
4396,1599295572,lavaplatos,Cocina,0.316,6,8,46,12,0.3 L | 6 s | 08:46:12
4626,1600326698,inodoro,Baño,4.319999999999999,360,7,11,38,4.3 L | 360 s | 07:11:38
4698,1600586239,lavaplatos,Cocina,4.131,392,7,17,19,4.1 L | 392 s | 07:17:19
5260,1603297236,inodoro,Baño,4.319999999999999,360,16,20,36,4.3 L | 360 s | 16:20:36
